"FAJ","FAJTA","ORSZAGKOD","FULSZAM","SZULETESI_EV","IVAR_KOD","APAORSKO","APAFULSZAM","ANYAORSKO","ANYAFULSZA","TENYESZET","TKV","TKO","FTIP","torzsbak_e","torzs_e"
"D","20","HU","7019067437","2012","2","HU","7019048380","HU","7019046487","","b","",11,"nem","nem"
"D","20","HU","7019067482","2012","2","HU","7019048380","HU","7019046490","","E","",11,"nem","nem"
"D","20","HU","7025026743","2012","2","HU","7038006057","HU","7008077504","","E","",11,"nem","nem"
"D","20","HU","7043021135","2011","2","HU","7011014507","HU","7009039846","","B","",11,"nem","nem"
"D","20","HU","7011014507","2007","1","","","","","","B","",11,"nem","nem"
"D","20","HU","7028018084","2008","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7046022401","2007","1","","","","","","B","",11,"nem","nem"
"D","20","HU","7019053014","2008","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7031019942","2008","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019056075","2010","2","HU","7019052969","HU","7019053171","","E","",11,"nem","nem"
"D","20","HU","7019045668","2008","2","","","","","","B","",11,"nem","igen"
"D","20","HU","7019045754","2008","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019046531","2008","2","","","","","","E","",11,"nem","igen"
"D","20","HU","7030024312","2007","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7031019830","2007","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7031019843","2007","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7045030689","2008","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7030050351","2014","2","HU","7019067495","HU","7030037213","","E","",11,"nem","nem"
"D","20","HU","7030049519","2011","1","HU","7030042190","HU","7010044851","","E","",11,"nem","nem"
"D","20","HU","7030049522","2011","2","HU","7030042190","HU","7010044851","","E","",11,"nem","nem"
"D","20","HU","7038021155","2010","1","HU","7021005685","HU","7008075867","","K","",11,"nem","nem"
"D","20","HU","7030049171","2011","2","HU","7030042190","HU","7030042202","","E","",11,"nem","nem"
"D","20","HU","7030066309","2011","2","","","","","","E","",11,"nem","nem"
"D","2011","HU","7043017444","2010","2","HU","7011014268","HU","7009040620","","E","",11,"nem","nem"
"D","20","HU","7043020981","2010","2","HU","7011014507","HU","7059006793","","E","",11,"nem","nem"
"D","20","HU","7019060274","2010","2","HU","7019048364","HU","7019046458","","B","",11,"nem","nem"
"D","20","HU","7019060373","2010","2","HU","7019048377","HU","7019045613","","E","",11,"nem","nem"
"D","20","HU","7019060427","2010","1","HU","7019048377","HU","7019045709","","K","",11,"nem","nem"
"D","20","HU","7049022213","2011","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7030060671","2012","2","HU","7030048563","HU","7030037130","","E","",11,"nem","nem"
"D","20","HU","7019079650","2013","2","HU","7019066410","HU","7019046557","","E","",11,"nem","nem"
"D","20","HU","7051025413","2008","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7019067664","2012","1","HU","7019048380","HU","7030024916","","K","",11,"nem","nem"
"D","20","HU","7019067820","2012","2","HU","7019048377","HU","7009011208","","E","",11,"nem","nem"
"D","20","HU","7043024237","2014","2","HU","7019067622","HU","7043022941","","E","",11,"nem","nem"
"D","20","HU","7043024282","2014","2","HU","7019067622","HU","7050008088","","E","",11,"nem","nem"
"D","20","HU","7039009934","2008","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7030024510","2007","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7030025058","2007","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7043025733","2013","2","HU","7045031242","HU","7031019827","","E","",11,"nem","nem"
"D","20","HU","7025037019","2013","2","HU","7038020873","HU","7038022015","","E","",11,"nem","nem"
"D","20","HU","7008075809","2006","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7008077377","2006","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7059004692","2001","2","HU","7059004353","HU","7059004379","","B","",11,"nem","nem"
"D","20","HU","7019083523","2013","2","HU","7030044556","HU","7019045741","","E","",11,"nem","nem"
"D","20","HU","7019083763","2013","2","HU","7030044556","HU","7019056059",6737115,"A",1,11,"nem","igen"
"D","20","HU","7019082832","2015","2","HU","7019055991","HU","7019053014","","B",3,11,"nem","nem"
"D","20","HU","7019082858","2015","2","HU","7019055991","HU","7019076363","","E","",11,"nem","nem"
"D","20","HU","7049037723","2015","2","HU","7049034506","HU","7049022185","","b","",11,"nem","nem"
"D","20","HU","7049041779","2015","2","HU","7049034506","HU","7049019651","","B","",11,"nem","nem"
"D","20","HU","7043024307","2014","1","HU","7019067622","HU","7059004647","","K","",11,"nem","nem"
"D","20","HU","7049035172","2014","2","","","HU","7049019693","","E","",11,"nem","nem"
"D","20","HU","7049035185","2014","2","","","HU","7049022172","","B","",11,"nem","nem"
"D","20","HU","7024027435","2008","2","","","","","","","",11,"nem","igen"
"D","20","HU","7019082634","2014","1","HU","7030044556","HU","7003077554","","K","",11,"nem","nem"
"D","20","HU","7049037682","2014","2","HU","7043023504","HU","7049019635","","E","",11,"nem","nem"
"D","20","HU","7050062758","2012","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7050063382","2012","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7043025353","2013","2","HU","7045031242","HU","7045030142","","E","",11,"nem","nem"
"D","20","HU","7043017387","2009","1","HU","7012005021","HU","7059004522","","E","",11,"nem","nem"
"D","20","HU","7043017415","2009","2","HU","7012005021","HU","7043015666","","E","",11,"nem","nem"
"D","20","HU","7043015765","2009","1","HU","7012005021","HU","7059004692","","E","",11,"nem","nem"
"D","20","HU","7043017035","2009","1","HU","7012005021","HU","7059004692","","E","",11,"nem","nem"
"D","20","HU","7050075563","2016","2","HU","7050053512","HU","7050037202","","E","",11,"nem","nem"
"D","20","HU","7050075815","2016","2","HU","7050053512","HU","7025030421",8994963,"E","",11,"nem","nem"
"D","20","HU","7050080057","2016","2","HU","7050070948","HU","7050053400","","E","",11,"nem","nem"
"D","20","HU","7025048765","2015","2","HU","7019088106","HU","7050057798","","E","",11,"nem","nem"
"D","20","HU","7051038554","2015","2","HU","7019056327","HU","7051033393","","E","",11,"nem","nem"
"D","20","HU","7049041641","2015","2","HU","7049034506","HU","7049028110","","B","",11,"nem","nem"
"D","20","HU","7019111749","2015","1","HU","7019079197","HU","7019066379","","B","",11,"nem","nem"
"D","20","HU","7043033514","2016","2","HU","7050053497","HU","7043021276","","A","",11,"nem","nem"
"D","20","HU","7043034883","2016","2","HU","7019067622","HU","7043023559",1318221,"B",2,11,"nem","igen"
"D","20","HU","7043034908","2016","2","HU","7050053497","HU","7043021218","","B","",11,"nem","nem"
"D","20","HU","7050063522","2014","1","","","","","","B","",11,"nem","nem"
"D","20","HU","7043029977","2015","2","HU","7019067622","HU","7043021250","","A","",11,"nem","nem"
"D","20","HU","7019111640","2015","1","HU","7019088119","HU","7019067424","","B","",11,"nem","nem"
"D","20","HU","7050062787","2012","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019111637","2015","2","HU","7019088119","HU","7019045572","","B","",11,"nem","nem"
"D","20","HU","7019111752","2015","2","HU","7019088119","HU","7019067763",6695097,"A","",11,"nem","nem"
"D","20","HU","7019111864","2015","2","HU","7019088119","HU","7019067284","","B","",11,"nem","nem"
"D","20","HU","7019111934","2015","2","HU","7019088119","HU","7019088052","","B","",11,"nem","nem"
"D","20","HU","7019112063","2015","2","HU","7019079197","HU","7019066465","","E","",11,"nem","nem"
"D","20","HU","7019092293","2014","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7049048693","2016","2","HU","7049034506","HU","7049019721","","B",2,11,"nem","nem"
"D","20","HU","7019127391","2016","2","HU","7019055991","HU","7019097566","","E","",11,"nem","nem"
"D","20","HU","7043030636","2015","2","HU","7019067622","HU","7050008088","","B","",11,"nem","nem"
"D","20","HU","7043030719","2015","2","HU","7019067622","HU","7043023690","","A","",11,"nem","nem"
"D","20","HU","7043030818","2015","2","HU","7019067622","HU","7043023731","","B","",11,"nem","nem"
"D","20","HU","7043030917","2015","2","HU","7011014507","HU","7043023434","","E","",11,"nem","nem"
"D","20","HU","7050075477","2016","1","HU","7019082647","HU","7050053583","","K","",11,"nem","nem"
"D","20","HU","7019127586","2016","1","HU","7019055991","HU","7019076488","","A","",11,"nem","nem"
"D","20","HU","7019127726","2016","1","HU","7019055991","HU","7019066069","","K","",11,"nem","nem"
"D","20","HU","7019122651","2016","2","HU","7019091771","HU","7019079506","","A","",11,"nem","nem"
"D","202","HU","7019122680","2016","2","","","HU","7019091276","","E","",11,"nem","nem"
"D","20","HU","7019123003","2016","2","HU","7019088119","HU","7019089305","","b","",11,"nem","nem"
"D","20","HU","7019123058","2016","2","HU","7019088119","HU","7019067677","","a","",11,"nem","nem"
"D","20","HU","7019123199","2016","2","HU","7019091771","HU","7019066618","","A","",11,"nem","nem"
"D","20","HU","7019123269","2016","1","HU","7019091771","HU","7019066423","","B","",11,"nem","nem"
"D","20","HU","7049048549","2016","2","HU","7043024240","HU","7049022198",1145467,"B",2,11,"nem","nem"
"D","20","HU","7049048635","2016","2","HU","7049034506","HU","7049028110",1145467,"B",2,11,"nem","nem"
"D","20","HU","7049048721","2016","2","HU","7049034506","HU","7049019718",9915871,"B","",11,"nem","nem"
"D","20","HU","7019135143","2017","2","HU","7019111749","HU","7019091388","","A","",11,"nem","nem"
"D","20","HU","7019135226","2017","2","HU","7049041782","HU","7019112191","","B","",11,"nem","nem"
"D","20","HU","7019135271","2017","2","HU","7019111749","HU","7019091614","","A","",11,"nem","nem"
"D","20","HU","7019135297","2017","2","HU","7019112133","HU","7019079478","","B","",11,"nem","nem"
"D","20","HU","7019135309","2017","2","HU","7019111749","HU","7019091474",7752955,"A",1,11,"nem","nem"
"D","20","HU","7019135325","2017","2","HU","7019111749","HU","7019067408","","a","",11,"nem","nem"
"D","20","HU","7019135370","2017","2","HU","7019111749","HU","7019091317","","E","",11,"nem","nem"
"D","20","HU","7043034304","2017","1","HU","7043024208","HU","7043030201",9938294,"K","",11,"nem","nem"
"D","20","HU","7049057181","2017","2","HU","7043024240","HU","7049019705",1145467,"B",2,11,"nem","nem"
"D","20","HU","7049057743","2017","2","HU","7019112133","HU","7049034999","","A",2,11,"nem","nem"
"D","20","HU","7049051156","2017","2","HU","7043024240","HU","7049019677","","B","",11,"nem","nem"
"D","20","HU","7019123300","2016","2","HU","7026036103","HU","7019091333",7752955,"A",1,11,"nem","nem"
"D","20","HU","7049057699","2017","1","HU","7043024240","HU","7049022226","","K","",11,"nem","nem"
"D","20","HU","7019128277","2017","1","HU","7019091656","HU","7019076334","","E","",11,"nem","nem"
"D","20","HU","7019128363","2017","1","HU","7019091656","HU","7019076040","","E","",11,"nem","nem"
"D","20","HU","7019128488","2017","1","HU","7019091656","HU","7019082692","","k","",11,"nem","nem"
"D","20","HU","7019128491","2017","1","HU","7019091656","HU","7019097537","","k","",11,"nem","nem"
"D","20","HU","7019127180","2016","2","HU","7019055991","HU","7019097553","","b","",11,"nem","nem"
"D","20","HU","7019082788","2016","1","HU","7019091656","HU","7019097537",8215035,"K","",11,"nem","igen"
"D","20","HU","7043035235","2017","1","HU","7019067622","HU","7043020949","","a","",11,"nem","nem"
"D","20","HU","7043034742","2017","2","HU","7019077137","HU","7043030342","","A",2,11,"nem","nem"
"D","20","HU","7050085502","2017","1","HU","7019083127","HU","7050062774","","K","",11,"nem","nem"
"D","20","HU","7050085627","2017","1","HU","7050063519","HU","7050063449","","B","",11,"nem","nem"
"D","20","HU","7050086011","2017","2","HU","7019083127","HU","7050062758",4665472,"B",2,11,"nem","igen"
"D","20","HU","7050086165","2017","2","HU","7019083127","HU","7050062787","","b","",11,"nem","nem"
"D","20","HU","7050086574","2017","2","HU","7019083127","HU","7050062592","","E","",11,"nem","nem"
"D","20","HU","7043036463","2018","1","HU","7043024208","HU","7043030144","","B","",11,"nem","nem"
"D","20","HU","7043036645","2018","1","HU","7043024208","HU","7043030160",4665472,"B","",11,"nem","nem"
"D","20","HU","7019128532","2017","2","HU","7019091656","HU","7019076011","","E","",11,"nem","nem"
"D","20","HU","7050087546","2017","2","HU","7025048653","HU","7025048538","","E","",11,"nem","nem"
"D","20","HU","7050087645","2017","2","HU","7025048653","HU","7025048752","","b","",11,"nem","nem"
"D","20","HU","7050087661","2017","2","HU","7025048653","HU","7025048567","","E","",11,"nem","nem"
"D","20","HU","7050087744","2017","2","HU","7050053512","HU","7050037202","","x","",11,"nem","nem"
"D","20","HU","7043035561","2017","2","HU","7050053497","HU","7043033457","","B","",11,"nem","nem"
"D","20","HU","7043035574","2017","2","HU","7019067622","HU","7043030678","","A",3,11,"nem","nem"
"D","20","HU","7019136780","2018","2","HU","7049041782","HU","7019091726","","E","",11,"nem","nem"
"D","20","HU","7019137158","2018","2","HU","7049041849","HU","7019092194","","B","",11,"nem","nem"
"D","20","HU","7043040815","2018","1","HU","7019123722","HU","7043033514",9586909,"A","",11,"nem","nem"
"D","20","HU","7043040927","2018","1","HU","7019123722","HU","7043023942","","A","",11,"nem","nem"
"D","2000","HU","7043035590","2018","2","HU","7019123722","HU","7043024419","","b","",11,"nem","nem"
"D","20","HU","7043035701","2018","2","HU","7050053497","HU","7043024349",1318221,"A",2,11,"nem","igen"
"D","20","HU","7043035756","2018","2","HU","7019123722","HU","7043021218",1318221,"E","",11,"nem","igen"
"D","20","HU","7043042015","2018","2","HU","7019123722","HU","7043030681",1318221,"A",3,11,"nem","igen"
"D","20","HU","7050094834","2018","2","HU","7019123579","HU","7050075716","","E","",11,"nem","nem"
"D","20","HU","7050094904","2018","2","HU","7019123269","HU","7025030405","","B",2,11,"nem","nem"
"D","20","HU","7050094959","2018","2","HU","7019123579","HU","7050075844","","E","",11,"nem","nem"
"D","20","HU","7049057842","2018","2","HU","7050075550","HU","7049028110","","b","",11,"nem","nem"
"D","20","HU","7019127771","2018","2","HU","7019091656","HU","7003077554","","b","",11,"nem","nem"
"D","20","HU","7043036898","2018","2","HU","7043024208","HU","7043025647","","E","",11,"nem","nem"
"D","20","HU","7043037109","2018","2","HU","7043024208","HU","7043025973","","b","",11,"nem","nem"
"D","20","HU","7050094962","2018","2","HU","7019123269","HU","7050075592","","E","",11,"nem","nem"
"D","20","HU","7050086983","2018","1","HU","7019083127","HU","7050063155","","K","",11,"nem","nem"
"D","20","HU","7049065991","2019","1","HU","7049048820","HU","7049035060",9721250,"B","",11,"nem","nem"
"D","20","HU","7049066145","2019","1","HU","7019112133","HU","7049044529","","B","",11,"nem","nem"
"D","20","HU","7019135523","2019","1","HU","7049041849","HU","7019091221",4665472,"A","",11,"nem","nem"
"D","20","HU","7019135635","2019","1","HU","7050087728","HU","7019122789","","E","",11,"nem","nem"
"D","20","HU","7025079837","2019","2","HU","7050063519","HU","7050078649","","E","",11,"nem","nem"
"D","20","HU","7025080202","2019","1","HU","7050063519","HU","7050062758",4665472,"K","",11,"nem","igen"
"D","20","HU","7025080512","2019","1","HU","7025048710","HU","7050062787","","k","",11,"nem","nem"
"D","20","HU","7019128095","2018","1","HU","7019091656","HU","7019082663","","k","",11,"nem","nem"
"D","20","HU","7043037141","2019","1","HU","7043024208","HU","7043025973",9915871,"K","",11,"nem","nem"
"D","20","HU","7043043920","2019","1","HU","7043024240","HU","7043034320","","k","",11,"nem","nem"
"D","20","HU","7082000627","2019","1","HU","7043034755","HU","7049019718","","K","",11,"nem","nem"
"D","20","HU","7082000630","2019","1","HU","7043034755","HU","7049019718",9268717,"K","",11,"nem","nem"
"D","20","HU","7043037224","2019","2","HU","7043024208","HU","7043030508","","E","",11,"nem","nem"
"D","20","HU","7043043681","2019","2","HU","7043024240","HU","7043030115",6729882,"B",1,11,"nem","nem"
"D","20","HU","7043037183","2019","2","HU","7043024240","HU","7043030144","","E","",11,"nem","nem"
"D","20","HU","7043042284","2019","2","HU","7050053497","HU","7043030665","","A",2,11,"nem","nem"
"D","20","HU","7043042804","2019","2","HU","7050053497","HU","7043033585","","E","",11,"nem","nem"
"D","20","HU","7043045894","2020","1","HU","7043035628","HU","7043035756","","E","",11,"nem","nem"
"D","20","HU","7043045807","2020","2","HU","7043035628","HU","7043040729",8800725,"E","",11,"nem","nem"
"D","20","HU","7050095215","2018","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7049062563","2019","2","HU","7019112133","HU","7049048651",7114652,"A",2,11,"nem","nem"
"D","20","HU","7049065748","2019","2","HU","7043034755","HU","7049019648",6690319,"B",1,11,"nem","igen"
"D","20","HU","7049065764","2019","2","HU","7019112133","HU","7049051156","","a","",11,"nem","nem"
"D","20","HU","7049066046","2019","2","HU","7049048820","HU","7049057602",1145467,"A",1,11,"nem","nem"
"D","20","HU","7049066244","2019","2","HU","7019112133","HU","7049048734","","a","",11,"nem","nem"
"D","20","HU","7049066286","2019","2","HU","7049048820","HU","7049057743",1145467,"A",1,11,"nem","nem"
"D","20","HU","7067030902","2019","1","HU","7019082973","HU","7019127700","","a","",11,"nem","nem"
"D","20","HU","7067030861","2019","2","HU","7019082973","HU","7019076363",6737115,"A",1,11,"nem","igen"
"D","202","HU","7082002249","2020","2","HU","7043036463","HU","7027008877","","E","",11,"nem","nem"
"D","202","HU","7082002223","2020","1","HU","7043036463","HU","7042041086","","E","",11,"nem","nem"
"D","20","HU","7019140020","2019","2","HU","7049041782","HU","7019091560","","A","",11,"nem","nem"
"D","20","HU","7019140299","2019","2","HU","7050087728","HU","7019111851",7752955,"B",1,11,"nem","nem"
"D","20","HU","7019140385","2019","2","HU","7049041849","HU","7019111880",7752955,"A",1,11,"nem","nem"
"D","20","HU","7019135536","2019","1","HU","7049041849","HU","7019091614","","K","",11,"nem","nem"
"D","20","HU","7049070539","2020","2","HU","7049061702","HU","7049019648","","b","",11,"nem","nem"
"D","20","HU","7049070782","2020","2","HU","7019112133","HU","7049035185","","b","",11,"nem","nem"
"D","20","HU","7049070807","2020","2","HU","7049048820","HU","7049041584","","k","",11,"nem","nem"
"D","20","HU","7049071051","2020","1","HU","7049048820","HU","7049048846","","K","",11,"nem","nem"
"D","20","HU","7049071019","2020","1","HU","7049061702","HU","7049057392",6809003,"A","",11,"nem","nem"
"D","20","HU","7049066778","2020","2","HU","7043035206","HU","7049061632","","A",1,11,"nem","nem"
"D","20","HU","7049070906","2020","1","HU","7019112133","HU","7049062167",4407119,"K","",11,"nem","nem"
"D","20","HU","7043045539","2020","1","HU","7019123722","HU","7043033192","","k","",11,"nem","nem"
"D","20","HU","7043045836","2020","2","HU","7050053497","HU","7043022909",1318221,"B",2,11,"nem","igen"
"D","20","HU","7065021528","2020","1","HU","7019136904","HU","7049048578","","E","",11,"nem","nem"
"D","20","HU","7065021586","2020","1","HU","7019136904","HU","7049048594","","E","",11,"nem","nem"
"D","20","HU","7065021502","2020","2","HU","7019136904","HU","7049048763","","E","",11,"nem","nem"
"D","20","HU","7049070795","2020","2","HU","7019112133","HU","7049048651",1145467,"A",1,11,"nem","nem"
"D","20","HU","7049071118","2020","1","HU","7049061702","HU","7049048888",1189160,"K","",11,"nem","nem"
"D","20","HU","7019112667","2020","1","HU","7019111749","HU","7049062224","","E","",11,"nem","nem"
"D","20","HU","7067030788","2020","1","HU","7019127797","HU","7019127065","","K","",11,"nem","nem"
"D","20","HU","7067031169","2020","2","HU","7019127797","HU","7019127982","","A",2,11,"nem","nem"
"D","20","HU","7019145070","2020","2","HU","7019111749","HU","7019112063","","b","",11,"nem","nem"
"D","20","HU","7019135888","2020","1","HU","7019136751","HU","7019112159","","a","",11,"nem","nem"
"D","20","HU","7082002153","2020","2","HU","7043036463","HU","7019091250","","a","",11,"nem","nem"
"D","20","HU","7043044905","2020","2","HU","7019123722","HU","7043023492",1318221,"B",2,11,"nem","igen"
"D","20","HU","7043044893","2020","1","HU","7019123722","HU","7043023492","","k","",11,"nem","nem"
"D","20","HU","7043044989","2020","1","HU","7019123722","HU","7043024451","","a","",11,"nem","nem"
"D","20","HU","7043044918","2020","1","HU","7050053497","HU","7043030665","","a","",11,"nem","nem"
"D","20","HU","7043044921","2020","2","HU","7050053497","HU","7043030665","","a","",11,"nem","nem"
"D","20","HU","7043044835","2020","2","HU","7019123722","HU","7043035347",1318221,"A",1,11,"nem","igen"
"D","20","HU","7043045076","2020","2","HU","7043035628","HU","7043035462",8800725,"A","",11,"nem","igen"
"D","2000","HU","7043045993","2020","2","HU","7050053497","HU","7043040873","","E","",11,"nem","nem"
"D","20","HU","7083003182","2020","2","HU","7050087702","HU","7025030405","","b","",11,"nem","nem"
"D","20","HU","7083003025","2020","1","HU","7019123579","HU","7025048541","","k","",11,"nem","nem"
"D","20","HU","7083003038","2020","1","HU","7019123579","HU","7025048596",4665472,"B","",11,"igen","igen"
"D","20","HU","7083003335","2020","2","HU","7050063519","HU","7050087546","","E","",11,"nem","nem"
"D","20","HU","7043046134","2020","1","HU","7043035628","HU","7043023559","","E","",11,"nem","nem"
"D","20","HU","7043046093","2020","2","HU","7019123722","HU","7043035503",1318221,"A",1,11,"nem","igen"
"D","20","HU","7043046150","2020","2","HU","7043035628","HU","7043041973",1244991,"A",1,11,"nem","igen"
"D","20","HU","7043046262","2020","1","HU","7019123722","HU","7043035446","","k","",11,"nem","nem"
"D","20","HU","7043046275","2020","2","HU","7019123722","HU","7043035446",6860033,"A","",11,"nem","igen"
"D","20","HU","7049076100","2021","2","HU","7049065991","HU","7049037710",4665472,"A",1,11,"nem","igen"
"D","20","HU","7049076168","2021","1","HU","7049065991","HU","7049041737","","k","",11,"nem","nem"
"D","20","HU","7049071316","2021","2","HU","7049065991","HU","7049048693","","a","",11,"nem","nem"
"D","20","HU","7049076481","2021","1","HU","7049065991","HU","7049048734","","k","",11,"nem","nem"
"D","20","HU","7049076014","2021","1","HU","7019135552","HU","7049062000",9910830,"K","",11,"nem","nem"
"D","20","HU","7049076436","2021","1","HU","7049061702","HU","7049062592","","k","",11,"nem","nem"
"D","20","HU","7049076449","2021","2","HU","7049061702","HU","7049062592","","a","",11,"nem","nem"
"D","20","HU","7049076379","2021","1","HU","7049068978","HU","7049066046","","A","",11,"nem","nem"
"D","20","HU","7083006284","2021","2","HU","7025048822","HU","7050095187","","a","",11,"nem","nem"
"D","20","HU","7083006297","2021","1","HU","7025048822","HU","7050095187",7120888,"B","",11,"nem","nem"
"D","20","HU","7083006383","2021","1","HU","7025048822","HU","7050099826","","k","",11,"nem","nem"
"D","20","HU","7083006916","2021","2","HU","7049061702","HU","7049065920",6690319,"A",2,11,"nem","igen"
"D","20","HU","7083006929","2021","1","HU","7049061702","HU","7049065920","","E","",11,"nem","nem"
"D","20","HU","7034086804","2021","1","HU","7049066075","HU","7043044710",8621137,"K","",11,"nem","nem"
"D","20","HU","7034086817","2021","2","HU","7049066075","HU","7043045498",8800725,"B","",11,"nem","igen"
"D","20","HU","7034086792","2021","1","HU","7049066075","HU","7043045922","","E","",11,"nem","nem"
"D","20","HU","7049076689","2021","2","HU","7049061702","HU","7049028181",4665472,"B",1,11,"nem","igen"
"D","20","HU","7083006239","2021","2","HU","7025048822","HU","7025048538",6880549,"E","",11,"nem","igen"
"D","20","HU","7083006242","2021","1","HU","7025048822","HU","7025048538",4665472,"B","",11,"nem","nem"
"D","20","HU","7083006549","2021","2","HU","7025048822","HU","7025048596","","a","",11,"nem","nem"
"D","20","HU","7065023616","2021","2","HU","7019143177","HU","7019067408","","a","",11,"nem","nem"
"D","20","HU","7067044734","2021","1","HU","7019082973","HU","7019128321",7037085,"K","",11,"nem","nem"
"D","201","HU","7077020245","2021","2","HU","7050087728","HU","7077009985",6858092,"E","",11,"nem","nem"
"D","20","HU","7043047614","2021","2","HU","7043035628","HU","7043020808","","a","",11,"nem","nem"
"D","2000","HU","7043047599","2021","2","HU","7043035628","HU","7043024419","","x","",11,"nem","nem"
"D","20","HU","7043047560","2021","2","HU","7043035628","HU","7043024451",1318221,"a",1,11,"nem","igen"
"D","20","HU","7043047487","2021","2","HU","7043035628","HU","7043030665",1318221,"A",2,11,"nem","igen"
